Sample,Time_us,Raw_u16,Voltage_V
699,699009,31399,1.581090
700,700013,19476,0.980709
701,701009,12691,0.639052
702,702013,13667,0.688199
703,703009,22165,1.116114
704,704013,34744,1.749526
705,705013,46699,2.351518
706,706012,53293,2.683557
707,707008,52588,2.648057
708,708012,44202,2.225782
709,709008,31639,1.593175
710,710012,19556,0.984738
711,711009,12787,0.643886
712,712013,13763,0.693033
713,713013,22133,1.114502
714,714011,34632,1.743886
715,715015,46667,2.349906
716,716011,53453,2.691614
717,717015,52396,2.638389
718,718011,44058,2.218530
719,719008,31527,1.587535
720,720012,19428,0.978292
721,721012,12563,0.632607
722,722009,13699,0.689810
723,723013,22117,1.113696
724,724009,34616,1.743081
725,725013,46619,2.347489
726,726010,53421,2.690002
727,727014,52460,2.641611
728,728010,44122,2.221753
729,729011,31495,1.585924
730,730010,19524,0.983127
731,731015,12723,0.640664
732,732012,13683,0.689004
733,733008,21989,1.107251
734,734012,34600,1.742275
735,735009,46603,2.346684
736,736013,53357,2.686780
737,737014,52508,2.644028
738,738012,43978,2.214502
739,739008,31447,1.583506
740,740012,19444,0.979098
741,741009,12707,0.639858
742,742013,13491,0.679336
743,743009,22053,1.110474
744,744013,34792,1.751943
745,745015,46763,2.354740
746,746012,53453,2.691614
747,747008,52476,2.642417
748,748012,44170,2.224170
749,749009,31511,1.586729
750,750013,19540,0.983932
751,751009,12803,0.644692
752,752013,13699,0.689810
753,753014,22069,1.111280
754,754012,34648,1.744692
755,755009,46603,2.346684
756,756013,53421,2.690002
757,757009,52524,2.644834
758,758013,44074,2.219336
759,759010,31559,1.589146
760,760014,19492,0.981515
761,761009,12723,0.640664
762,762014,13619,0.685782
763,763011,21973,1.106445
764,764015,34632,1.743886
765,765011,46587,2.345878
766,766008,53244,2.681089
767,767012,52380,2.637583
768,768008,44090,2.220142
769,769011,31351,1.578672
770,770008,19652,0.989572
771,771012,12771,0.643081
772,772009,13715,0.690616
773,773013,22069,1.111280
774,774009,34632,1.743886
775,775013,46651,2.349100
776,776009,53373,2.687585
777,777011,52508,2.644028
778,778008,44154,2.223364
779,779012,31607,1.591563
780,780009,19620,0.987961
781,781013,12707,0.639858
782,782009,13747,0.692227
783,783013,22085,1.112085
784,784009,34584,1.741469
785,785012,46619,2.347489
786,786010,53405,2.689196
787,787014,52460,2.641611
788,788010,44074,2.219336
789,789014,31383,1.580284
790,790010,19508,0.982321
791,791014,12691,0.639052
792,792011,13603,0.684976
793,793014,22053,1.110474
794,794012,34504,1.737441
795,795008,46635,2.348295
796,796012,53485,2.693225
797,797008,52492,2.643222
798,798012,44090,2.220142
799,799009,31511,1.586729
800,800013,19556,0.984738
801,801008,12739,0.641469
802,802013,13699,0.689810
803,803009,22021,1.108862
804,804013,34680,1.746303
805,805009,46683,2.350712
806,806013,53341,2.685974
807,807010,52380,2.637583
808,808014,44090,2.220142
809,809010,31479,1.585118
810,810015,19508,0.982321
811,811011,12755,0.642275
812,812015,13715,0.690616
813,813011,22053,1.110474
814,814008,34632,1.743886
815,815012,46651,2.349100
816,816008,53437,2.690808
817,817012,52492,2.643222
818,818011,44106,2.220948
819,819009,31527,1.587535
820,820015,19492,0.981515
821,821011,12659,0.637441
822,822008,13651,0.687393
823,823012,21893,1.102417
824,824008,34728,1.748720
825,825012,46763,2.354740
826,826010,53565,2.697253
827,827014,52412,2.639194
828,828010,44026,2.216919
829,829014,31303,1.576255
830,830011,19396,0.976681
831,831015,12691,0.639052
832,832011,13715,0.690616
833,833015,22005,1.108057
834,834013,34536,1.739052
835,835009,46763,2.354740
836,836013,53549,2.696448
837,837010,52620,2.649668
838,838014,44202,2.225782
839,839010,31623,1.592369
840,840014,19620,0.987961
841,841010,12787,0.643886
842,842008,13747,0.692227
843,843012,22117,1.113696
844,844008,34744,1.749526
845,845012,46667,2.349906
846,846009,53405,2.689196
847,847013,52492,2.643222
848,848009,44154,2.223364
849,849013,31479,1.585118
850,850011,19572,0.985544
851,851015,12755,0.642275
852,852011,13699,0.689810
853,853015,22085,1.112085
854,854011,34632,1.743886
855,855008,46571,2.345072
856,856012,53421,2.690002
857,857009,52444,2.640806
858,858009,44074,2.219336
859,859013,31447,1.583506
860,860010,19412,0.977487
861,861014,12771,0.643081
862,862010,13731,0.691421
863,863014,22117,1.113696
864,864010,34712,1.747915
865,865008,46619,2.347489
866,866015,53549,2.696448
867,867011,52588,2.648057
868,868015,44106,2.220948
869,869011,31527,1.587535
870,870008,19572,0.985544
871,871012,12787,0.643886
872,872008,13667,0.688199
873,873013,22053,1.110474
874,874010,34616,1.743081
875,875014,46667,2.349906
876,876010,53437,2.690808
877,877014,52380,2.637583
878,878011,43994,2.215308
879,879015,31383,1.580284
880,880011,19540,0.983932
881,881010,12755,0.642275
882,882014,13763,0.693033
883,883011,22085,1.112085
884,884015,34728,1.748720
885,885011,46683,2.350712
886,886008,53469,2.692419
887,887012,52540,2.645640
888,888008,44170,2.224170
889,889014,31479,1.585118
890,890012,19556,0.984738
891,891008,12787,0.643886
892,892012,13747,0.692227
893,893008,22021,1.108862
894,894012,34648,1.744692
895,895009,46587,2.345878
896,896013,53421,2.690002
897,897011,52428,2.640000
898,898009,44106,2.220948
899,899013,31447,1.583506
900,900009,19476,0.980709
901,901013,12691,0.639052
902,902010,13523,0.680948
903,903014,21861,1.100806
904,904010,34536,1.739052
905,905009,46603,2.346684
906,906013,53389,2.688391
907,907009,52396,2.638389
908,908013,44058,2.218530
909,909010,31383,1.580284
910,910014,19364,0.975070
911,911010,12787,0.643886
912,912014,13795,0.694644
913,913013,22053,1.110474
914,914010,34664,1.745498
915,915014,46715,2.352323
916,916010,53485,2.693225
917,917014,52508,2.644028
918,918011,44202,2.225782
919,919015,31527,1.587535
920,920011,19604,0.987155
921,921010,12787,0.643886
922,922014,13731,0.691421
923,923011,22101,1.112891
924,924015,34728,1.748720
925,925011,46619,2.347489
926,926008,53437,2.690808
927,927012,52460,2.641611
928,928008,44106,2.220948
929,929008,31607,1.591563
930,930012,19524,0.983127
931,931009,12723,0.640664
932,932013,13715,0.690616
933,933009,22021,1.108862
934,934013,34696,1.747109
935,935009,46635,2.348295
936,936013,53389,2.688391
937,937015,52412,2.639194
938,938013,43962,2.213696
939,939010,31399,1.581090
940,940014,19540,0.983932
941,941010,12771,0.643081
942,942014,13683,0.689004
943,943010,22101,1.112891
944,944014,34792,1.751943
945,945015,46779,2.355546
946,946012,53549,2.696448
947,947009,52604,2.648862
948,948013,43978,2.214502
949,949009,31543,1.588340
950,950013,19380,0.975875
951,951009,12531,0.630996
952,952013,13763,0.693033
953,953014,22117,1.113696
954,954012,34696,1.747109
955,955008,46603,2.346684
956,956012,53453,2.691614
957,957009,52460,2.641611
958,958013,44058,2.218530
959,959009,31559,1.589146
960,960013,19556,0.984738
961,961014,12723,0.640664
962,962012,13731,0.691421
963,963009,22101,1.112891
964,964013,34648,1.744692
965,965009,46587,2.345878
966,966013,53469,2.692419
967,967010,52492,2.643222
968,968014,44058,2.218530
969,969014,31463,1.584312
970,970014,19476,0.980709
971,971011,12739,0.641469
972,972015,13667,0.688199
973,973011,21973,1.106445
974,974008,34552,1.739858
975,975012,46619,2.347489
976,976008,53389,2.688391
977,977009,52396,2.638389
978,978015,44042,2.217725
979,979011,31415,1.581895
980,980015,19412,0.977487
981,981012,12723,0.640664
982,982008,13715,0.690616
983,983012,22069,1.111280
984,984008,34632,1.743886
985,985010,46523,2.342655
986,986015,53565,2.697253
987,987011,52572,2.647251
988,988015,44090,2.220142
989,989012,31559,1.589146
990,990008,19620,0.987961
991,991012,12771,0.643081
992,992008,13731,0.691421
993,993010,22085,1.112085
994,994015,34760,1.750332
995,995012,46619,2.347489
996,996008,53341,2.685974
997,997012,52508,2.644028
998,998008,44154,2.223364
999,999012,31543,1.588340
1000,1000009,19604,0.987155
1001,1001012,12755,0.642275
1002,1002008,13523,0.680948
1003,1003012,22037,1.109668
1004,1004009,34616,1.743081
1005,1005013,46555,2.344266
1006,1006009,53389,2.688391
1007,1007013,52428,2.640000
1008,1008009,44138,2.222559
1009,1009011,31495,1.585924
1010,1010009,19540,0.983932
1011,1011013,12723,0.640664
1012,1012009,13699,0.689810
1013,1013013,22053,1.110474
1014,1014010,34616,1.743081
1015,1015014,46619,2.347489
1016,1016010,53437,2.690808
1017,1017014,52444,2.640806
1018,1018012,44074,2.219336
1019,1019009,31527,1.587535
1020,1020013,19508,0.982321
1021,1021010,12739,0.641469
1022,1022014,13715,0.690616
1023,1023010,22037,1.109668
1024,1024014,34696,1.747109
1025,1025008,46539,2.343460
1026,1026013,53373,2.687585
1027,1027010,52492,2.643222
1028,1028014,44074,2.219336
1029,1029010,31511,1.586729
1030,1030014,19444,0.979098
1031,1031010,12707,0.639858
1032,1032014,13747,0.692227
1033,1033009,22005,1.108057
1034,1034013,34648,1.744692
1035,1035009,46603,2.346684
1036,1036013,53389,2.688391
1037,1037010,52444,2.640806
1038,1038014,44010,2.216114
1039,1039010,31671,1.594786
1040,1040014,19444,0.979098
1041,1041009,12531,0.630996
1042,1042014,13507,0.680142
1043,1043010,22021,1.108862
1044,1044014,34744,1.749526
1045,1045010,46571,2.345072
1046,1046014,53437,2.690808
1047,1047011,52556,2.646445
1048,1048015,44058,2.218530
1049,1049011,31559,1.589146
1050,1050008,19588,0.986349
1051,1051012,12755,0.642275
1052,1052009,13699,0.689810
1053,1053013,22053,1.110474
1054,1054009,34600,1.742275
1055,1055013,46603,2.346684
1056,1056009,53453,2.691614
1057,1057015,52412,2.639194
1058,1058011,44106,2.220948
